Name	Depth[m]	T_down [C]	l_horiz [m]	LCOH [cEURO/kWh]	Q_dot [MW]	W_net [kW]	T_turb_out [C]	x_turb_out [-]	link
DICOMANO_001	3178.0	100.20338327219068	1573.6955901820957	0.08796231317619359	0.6176423213646689	59.733033903436734	10.00000000000108	0.3132785663405179	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2351
CONTRADA_TRIGLIA_001	2416.0	94.1883622530901	1616.6541421859508	0.08912640637738628	0.6383229868162126	53.81323966035328	10.00000000000108	0.3237681474451797	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1937
CAMPIDANO_001	1700.0	88.40976768806519	1684.2264524217783	0.08922489527818069	0.6748429359884555	48.25516422133485	10.00000000000108	0.3422916794697147	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1095
CASCINA_NUOVA_001_DIR	3208.0	99.09144689759444	1569.9956603348646	0.08989378323030323	0.6059187817928707	58.448928023765326	10.00000000000108	0.30733219002781054	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1279
VALLE_TORTA_001_DIR	3917.0	103.33054198893944	1542.092370222987	0.09005123654899409	0.5862448330441438	62.415318361461395	10.00000000000108	0.2973532325550797	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6713
ORISTANO_001	1852.0	89.08000034621689	1665.8999615039497	0.09017421209369722	0.6597101866277051	48.8530541103601	10.00000000000108	0.33461609465219333	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4187
QUERCIOLA_001	3845.0	102.65048059971613	1543.458298054695	0.0904447221318698	0.585752296354259	61.699764885568875	10.00000000000108	0.29710340966772275	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4889
BIDDUSA_002	2007.0	90.0664565771301	1649.4211361555497	0.09060051643549376	0.6486222512353934	49.76862363477936	10.00000000000108	0.32899210746215723	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=777
URSITTO_001	3820.0	102.3757076650707	1543.867829729876	0.09063975670471212	0.5852804268491861	61.4069186212623	10.00000000000108	0.2968640695238634	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6684
S.GIOVANNI_001	4546.0	105.95498993738715	1525.7996974656137	0.09149454683769227	0.5663380503840285	64.73377511266678	10.00000000000108	0.2872561778091666	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5610
MARRARA_001	3500.0	99.78718764965785	1551.331875999466	0.09164614352213135	0.5872400395966118	58.74131521050818	10.00000000000108	0.2978580180452983	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3520
QUARA_001_DIR	3230.0	98.0110790466025	1566.8626444404206	0.09176034926031812	0.5951845202458924	57.22100411259511	10.00000000000108	0.30188759215645544	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4885
CERTALDO_002	1860.0	87.93405839046875	1662.9360905131443	0.09202306586164749	0.6479511148510769	47.67810365678568	10.00000000000108	0.3286516958079929	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1593
BENEVENTO_SUD_001	4502.0	105.32734269625395	1526.0687000637818	0.09210815089600262	0.5641483938989929	64.04677288824983	10.00000000000108	0.2861455472375852	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=760
MONTE_ACUTO_001	4350.0	104.47482603539065	1529.3624117791703	0.09212390220873727	0.5669224973358185	63.24044657589402	10.00000000000108	0.2875526191261318	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3847
SARTIRANA_001	5705.0	111.56886879409225	1503.9644206537346	0.09212989854671233	0.5442006625336543	69.72776246886758	10.00000000000108	0.27602772262014263	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=5981
CASSANO_D'ADDA_001	3487.0	99.39640130265204	1551.084248107926	0.09213030613170956	0.5850052312461508	58.31007171122532	10.00000000000108	0.2967244856886891	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1309
FONTEMAGGIORE_002_DIR	3054.0	96.62012842031363	1574.6991282284894	0.09214281163583227	0.5983492192237574	55.87117541912303	10.00000000000108	0.3034927806683018	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2624
BRAEMI_001	4005.0	102.29435180705755	1537.021938509488	0.0924650285579607	0.5720344248620501	61.11221198801941	10.00000000000108	0.29014547468550433	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=898
PIAZZA_ARMERINA_001	3711.0	100.49932608588739	1544.4079135980446	0.09255184610073215	0.5777977995627112	59.35912379020534	10.00000000000108	0.2930687552008625	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4404
BAGNOLO_IN_PIANO_001	5151.0	108.08278736518477	1512.2007488971235	0.09325279912985887	0.5475678164221613	66.38340230847709	10.00000000000108	0.2777355996654018	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=459
AVANELLA_001	3051.0	95.79542805281699	1573.4333353502745	0.0934092168499913	0.5917269582807925	54.9737598107924	10.00000000000108	0.3001338586152265	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=435
CERAMI_001	3431.0	97.9275530048281	1551.064120886119	0.09390825376735924	0.5772887748410803	56.72954414299864	10.00000000000108	0.2928105693066834	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1554
MONTE_BOSSO_001	3603.0	98.7582553219329	1545.240955678249	0.09429114446614567	0.5713802013102087	57.49120519507502	10.00000000000108	0.2898136415042318	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3864
MODI_001_X	3722.0	99.4376315254733	1541.999576611256	0.09436441882958416	0.568470013533489	58.14435758943029	10.00000000000108	0.2883375453512707	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3798
PONTE_OLIVO_001	3680.0	99.01882230228682	1542.7943743466917	0.09463282622479273	0.5680341202080756	57.712845600828295	10.00000000000108	0.28811645293039984	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4600
MONTEGIORGIO_001_DIR	4748.0	105.03472114467455	1518.2859275817764	0.09477300789095965	0.5471885305824904	63.34994575699616	10.00000000000108	0.2775432195127223	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3983
VIANO_001	3438.0	97.32432466467978	1550.181856381165	0.09495948975494939	0.5719847142088704	56.07423940649838	10.00000000000108	0.2901202606067062	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6850
BONITO_001_DIR	3008.0	94.36594739796139	1573.5725237512165	0.09525450385023009	0.5834637012917164	53.47195046775567	10.00000000000108	0.2959425957867325	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=849
VALLE_LEPRI_001	3936.0	100.16561387965646	1535.6026750521678	0.09526660894114483	0.5597073874472908	58.74799548306095	10.00000000000108	0.28389299412363417	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6710
BALLAN_001	4305.0	102.15025173545484	1526.7886563612283	0.09550711056580166	0.5515580307346419	60.584249122485055	10.00000000000108	0.2797595034297083	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=475
BAGNOLO_IN_PIANO_003	5046.0	106.04964837863349	1511.7295210246707	0.09573813633453596	0.5379673786738229	64.10119407879247	10.00000000000108	0.27286609628131525	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=461
MINEO_002	2897.0	92.9351600977437	1578.1164330959905	0.09638380721783489	0.5810738105335087	52.05313172998314	10.00000000000108	0.29473040302638626	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3692
MONTE_PIETRA_001	3619.0	97.39545133331889	1542.0845694257446	0.09671136671196852	0.559223468306039	55.958121297819886	10.00000000000108	0.28364754220178234	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3936
ANGELO_001	4326.0	101.51663062205327	1525.0628649375744	0.0967809171614154	0.5453050417585095	59.82706170879595	10.00000000000108	0.27658788232470166	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=274
MONTE_FORCUSO_001	1800.0	84.452456388803	1664.4583314404235	0.09682036714129899	0.6234648115662934	44.23991553281667	10.00000000000108	0.3162318312315412	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=3920
PONTREMOLI_001	3520.0	96.6206948520615	1544.4240669940696	0.09698558521083485	0.5599867013501852	55.1897444958397	10.00000000000108	0.28403466682971507	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4613
ORISTANO_002	1700.0	82.98429711094902	1675.4855328279734	0.09786340772914005	0.6233318400845519	42.86860060448176	10.00000000000108	0.3161643858611006	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4188
SPADA_001	4280.0	100.60140194066759	1524.9786545544055	0.09790917014557637	0.5410143145831232	58.83818161647767	10.00000000000108	0.2744115533854977	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6225
CASTELPAGANO_002_DIR	4226.0	100.12083164195121	1525.882596801125	0.09820918450103232	0.5406251385606371	58.35919782889134	10.00000000000108	0.27421415676586663	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1367
