Name	Depth[m]	T_down [C]	l_horiz [m]	LCOH [cEURO/kWh]	W_dot [MW]	link
SERGNANO_027_DIR	1354.0	42.08325916991231	2285.7952028063564	0.04665067860607604	1.6364893745250253	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6089
CASE_BORRA_003	1301.0	42.0692220394837	2286.2678596142528	0.04665827512307256	1.636626343376572	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1286
SERGNANO_026_DIR	1353.0	42.06337969530281	2285.3013665416693	0.04665990219455785	1.6357444651527786	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6088
SERGNANO_043_DIR	1353.0	42.063260919660294	2285.2983215279514	0.046659957196454264	1.6357399387024558	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6105
SERGNANO_020_DIR	1352.0	42.04312480991363	2284.797684340183	0.04666930493298096	1.634985233943482	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6082
SERGNANO_025_DIR	1351.0	42.0233653226697	2284.3064873999283	0.0466784834146151	1.6342448670492529	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6087
CREMONA_SUD_013	1350.0	42.003901389444394	2283.8226695100984	0.04668752995546196	1.6335157555950361	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2225
SERGNANO_022_DIR	1350.0	42.003462436681154	2283.811403493088	0.04668773357071836	1.6334990280841526	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6084
SERGNANO_024_DIR	1349.0	41.98346616162898	2283.310921078544	0.046697032310629036	1.6327472444468836	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6086
CREMONA_SUD_011	1349.0	41.98053610821202	2283.235670156726	0.04669839230901375	1.6326355728508728	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2223
SERGNANO_021	1348.0	41.96352686439789	2282.814433057673	0.04670630988305659	1.6319999624531922	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6083
SERGNANO_023_DIR	1348.0	41.96344205805405	2282.8122541598677	0.046706349267249585	1.6319967302270666	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6085
BRUGHERIO_015_DIR	1416.0	53.943396975564134	1112.4068861649066	0.04671827705770103	0.7990806049764004	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=952
SERGNANO_015_DIR	1345.0	41.90221084246727	2281.2851149258136	0.046734871188411395	1.6297009293331488	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6077
SERGNANO_016_DIR	1344.0	41.882093557114246	2280.783153325405	0.04674425312797678	1.6289468047389908	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6078
VILLAROSA_003	1340.0	41.87957729154364	2280.781157307446	0.046745505476895585	1.6289014660763892	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=6917
FERRANDINA_023	1317.0	41.84988874148118	2280.37774042336	0.04675979852266464	1.6280605221375972	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=2552
COLLE_MARTELLO_002	1337.0	41.745156334123116	2277.366307388963	0.04680826288053906	1.6238180234957413	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=1845
BENEVENTO_SUD_001	4502.0	105.32734269625395	1312.799850993122	0.04681459827768133	0.9164223532719205	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=760
MONTESANO_001_DIR	1336.0	41.72001209810423	2276.7337057921677	0.04682003786097184	1.6228729470502565	http://www.videpi.com/videpi/pozzi/dettaglio.asp?cod=4004
